Type,Index,Name
0x0000,0x0001,comment
0x0000,0x0002,point
0x0000,0x0003,vector
0x0000,0x0004,quat
0x0000,0x0005,normals
0x0000,0x0006,normal_idxs
0x0000,0x0007,points
0x0000,0x0008,uv_point
0x0000,0x0009,uv_points
0x0000,0x000A,colour
0x0000,0x000B,colours
0x0000,0x000C,packed_colour
0x0000,0x000D,image
0x0000,0x000E,images
0x0000,0x000F,texture
0x0000,0x0010,textures
0x0000,0x0011,light_material
0x0000,0x0012,light_materials
0x0000,0x0013,linear_key
0x0000,0x0014,tcb_key
0x0000,0x0015,linear_pos
0x0000,0x0016,tcb_pos
0x0000,0x0017,slerp_rot
0x0000,0x0018,tcb_rot
0x0000,0x0019,controllers
0x0000,0x001A,anim_node
0x0000,0x001B,anim_nodes
0x0000,0x001C,animation
0x0000,0x001D,animations
0x0000,0x001E,anim
0x0000,0x001F,lod_controls
0x0000,0x0020,lod_control
0x0000,0x0021,distance_levels_header
0x0000,0x0022,distance_level_header
0x0000,0x0023,dlevel_selection
0x0000,0x0024,distance_levels
0x0000,0x0025,distance_level
0x0000,0x0026,sub_objects
0x0000,0x0027,sub_object
0x0000,0x0028,sub_object_header
0x0000,0x0029,geometry_info
0x0000,0x002A,geometry_nodes
0x0000,0x002B,geometry_node
0x0000,0x002C,geometry_node_map
0x0000,0x002D,cullable_prims
0x0000,0x002E,vtx_state
0x0000,0x002F,vtx_states
0x0000,0x0030,vertex
0x0000,0x0031,vertex_uvs
0x0000,0x0032,vertices
0x0000,0x0033,vertex_set
0x0000,0x0034,vertex_sets
0x0000,0x0035,primitives
0x0000,0x0036,prim_state
0x0000,0x0037,prim_states
0x0000,0x0038,prim_state_idx
0x0000,0x0039,indexed_point_list
0x0000,0x003A,point_list
0x0000,0x003B,indexed_line_list
0x0000,0x003C,indexed_trilist
0x0000,0x003D,tex_idxs
0x0000,0x003E,tri
0x0000,0x003F,vertex_idxs
0x0000,0x0040,flags
0x0000,0x0041,matrix
0x0000,0x0042,matrices
0x0000,0x0043,hierarchy
0x0000,0x0044,volumes
0x0000,0x0045,vol_sphere
0x0000,0x0046,shape_header
0x0000,0x0047,shape
0x0000,0x0048,shader_names
0x0000,0x0049,shader_name
0x0000,0x004A,texture_filter_names
0x0000,0x004B,texture_filter_name
0x0000,0x004C,sort_vectors
0x0000,0x004D,uvop_arg_sets
0x0000,0x004E,uvop_arg_set
0x0000,0x004F,light_model_cfgs
0x0000,0x0050,light_model_cfg
0x0000,0x0051,uv_ops
0x0000,0x0052,uvop_copy
0x0000,0x0053,uv_op_share
0x0000,0x0054,uv_op_copy
0x0000,0x0055,uv_op_uniformscale
0x0000,0x0056,uv_op_user_uninformscale
0x0000,0x0057,uv_op_nonuniformscale
0x0000,0x0058,uv_op_user_nonuninformscale
0x0000,0x0059,uv_op_transform
0x0000,0x005A,uv_op_user_transform
0x0000,0x005B,uv_op_reflectxy
0x0000,0x005C,uv_op_reflectmap
0x0000,0x005D,uv_op_reflectmapfull
0x0000,0x005E,uv_op_spheremap
0x0000,0x005F,uv_op_spheremapfull
0x0000,0x0060,uv_op_specularmap
0x0000,0x0061,uv_op_embossbump
0x0000,0x0062,user_uv_args
0x0000,0x0063,io_dev
0x0000,0x0064,io_map
0x0000,0x0065,sguid
0x0000,0x0066,dlev_cfg_table
0x0000,0x0067,dlev_cfg
0x0000,0x0068,subobject_shaders
0x0000,0x0069,subobject_light_cfgs
0x0000,0x006A,shape_named_data
0x0000,0x006B,shape_named_data_header
0x0000,0x006C,shape_named_geometry
0x0000,0x006D,shape_geom_ref
0x0000,0x006E,material_palette
0x0000,0x006F,blend_config
0x0000,0x0070,blend_config_header
0x0000,0x0071,filtermode_cfgs
0x0000,0x0072,filter_mode_cfg
0x0000,0x0073,blend_mode_cfgs
0x0000,0x0074,blend_mode_cfg
0x0000,0x0075,texture_stage_progs
0x0000,0x0076,texture_stage_prog
0x0000,0x0077,blend_mode_cfg_refs
0x0000,0x0078,shader_cfgs
0x0000,0x0079,shader_cfg
0x0000,0x007A,texture_slots
0x0000,0x007B,texture_slot
0x0000,0x007C,named_filter_modes
0x0000,0x007D,named_filter_mode
0x0000,0x007E,filtermode_cfg_refs
0x0000,0x007F,filtermode_cfg_ref
0x0000,0x0080,named_shaders
0x0000,0x0081,named_shader
0x0000,0x0082,shader_cfg_refs
0x0000,0x0083,shader_cfg_ref
0x0000,0x0084,terrain_desc
0x0000,0x0085,terrain_desc_flags
0x0000,0x0086,terrain_desc_size
0x0000,0x0087,terrain_desc_tiles
0x0000,0x0088,terrain
0x0000,0x0089,terrain_errthreshold_scale
0x0000,0x008A,terrain_alwaysselect_maxdist
0x0000,0x008B,terrain_samples
0x0000,0x008C,terrain_nsamples
0x0000,0x008D,terrain_sample_rotation
0x0000,0x008E,terrain_sample_floor
0x0000,0x008F,terrain_sample_scale
0x0000,0x0090,terrain_sample_size
0x0000,0x0091,terrain_sample_fbuffer
0x0000,0x0092,terrain_sample_ybuffer
